id;Format;P;Q;Antican
806;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 3], [3, 3, 0, 0, -1, 0, -5]];[[1, -1, 1, 0, 0, 0, 0], [0, 0, 1, 1, 0, 1, 0], [1, 1, -1, 1, 1, -1, 1], [-1, 0, 0, 2, -3, -1, 0]];[1, 2, 1, -2]
807;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 3], [3, 3, 0, 0, -1, 0, -4]];[[1, -1, 1, 0, 0, 0, 0], [0, 0, 1, 1, 0, 1, 0], [1, 1, 0, 1, 2, 0, 1], [1, 0, 0, 2, -1, -2, 1]];[1, 2, 3, 0]
808;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [3, 3, 1, 0, -1, 0, -1]];[[0, 0, 1, 0, 1, 1, 0], [1, -1, 0, -1, 0, -1, 0], [0, 0, 1, 1, 0, 0, 1], [0, -1, 1, 0, -1, 0, -1]];[2, -1, 2, -1]
809;[3, 2, 2], 0, 1;[[-1, -2, -2, 1, 1, 0, 0], [-1, -2, -2, 0, 0, 1, 1], [3, 3, -1, 0, -1, 0, -1]];[[-1, 1, 0, 1, 0, 1, 0], [0, 0, 0, 1, -1, -1, 1], [1, -1, 1, 2, -1, 1, 0], [-1, 0, 0, 1, -2, 0, -1]];[1, 0, 2, -2]
810;[3, 2, 2], 0, 1;[[-1, -2, -2, 1, 1, 0, 0], [-1, -2, -2, 0, 0, 1, 1], [3, 3, 1, 0, -1, 0, -2]];[[-1, 1, 0, 1, 0, 1, 0], [1, 0, 0, 0, 1, 0, 1], [0, 1, -1, 0, 0, -1, 1], [1, -1, 1, 2, -1, 0, 1]];[1, 2, 0, 2]
811;[3, 2, 2], 0, 1;[[-1, -2, -2, 1, 1, 0, 0], [-1, -2, -2, 0, 0, 1, 1], [3, 3, 1, 0, -1, 0, -1]];[[-1, 1, 0, 1, 0, 1, 0], [-1, 1, -1, 0, -1, -1, 0], [0, 0, 0, 1, -1, -1, 1], [0, -1, 1, 1, -1, 1, -1]];[1, -2, 0, 0]
812;[3, 2, 2], 0, 1;[[-1, -2, -2, 1, 1, 0, 0], [-1, -2, -2, 0, 0, 1, 2], [3, 3, 1, 0, -1, 0, -3]];[[-1, 1, 0, 1, 0, 1, 0], [-1, 1, -1, 0, -1, -1, 0], [1, 0, 0, 1, 0, -1, 1], [-1, -1, 1, 1, -2, 1, -1]];[1, -2, 1, -1]
813;[3, 2, 2], 0, 1;[[-1, -3, -1, 1, 1, 0, 0], [-1, -3, -1, 0, 0, 1, 1], [3, 4, 0, 0, -1, 0, -1]];[[0, 0, 1, 1, 0, 1, 0], [1, -1, 1, 0, -1, -1, 0], [0, 0, 0, 1, -1, -1, 1], [1, 0, 0, 0, 1, -1, 2]];[2, 0, 0, 2]
814;[3, 2, 2], 0, 1;[[-1, -3, -1, 1, 1, 0, 0], [-1, -3, -1, 0, 0, 1, 2], [3, 4, 0, 0, -1, 0, -3]];[[0, 0, 1, 1, 0, 1, 0], [1, -1, 1, 0, -1, -1, 0], [1, 0, 0, 1, 0, -1, 1], [2, -1, 1, -2, 2, 0, 0]];[2, 0, 1, 2]
815;[3, 2, 2], 0, 1;[[-1, -3, -1, 1, 1, 0, 0], [-1, -3, -1, 0, 0, 1, 3], [3, 4, 0, 0, -1, 0, -4]];[[0, 0, 1, 1, 0, 1, 0], [1, -1, 1, 0, -1, -1, 0], [0, 1, -1, 2, 0, -1, 1], [2, 0, 0, 0, 2, -1, 1]];[2, 0, 0, 2]
816;[3, 2, 2], 0, 1;[[-1, -3, -1, 1, 1, 0, 0], [-1, -3, -1, 0, 0, 1, 1], [3, 5, -1, 0, -1, 0, -1]];[[2, -1, 1, 0, 0, 0, 0], [0, 0, 0, 1, -1, -1, 1], [0, 0, 1, 2, -1, 1, 0], [1, -1, 0, -1, -1, -1, -1]];[2, 0, 2, -2]
817;[3, 2, 2], 0, 1;[[-1, -3, -1, 1, 1, 0, 0], [-1, -3, -1, 0, 0, 1, 1], [3, 5, 0, 0, -1, 0, -2]];[[0, 0, 1, 1, 0, 1, 0], [1, 0, 0, 0, 1, 0, 1], [1, -1, 1, -1, 0, 0, -1], [1, -1, 1, 1, -2, -1, 0]];[2, 2, 0, 0]
818;[3, 2, 2], 0, 1;[[-1, -3, -1, 1, 1, 0, 0], [-1, -3, -1, 0, 0, 1, 1], [3, 5, 0, 0, -1, 0, -1]];[[0, 0, 1, 1, 0, 1, 0], [0, 0, 0, 1, -1, -1, 1], [1, -1, 1, 0, -1, 0, -1], [1, 0, 0, 0, 1, -1, 2]];[2, 0, 0, 2]
819;[3, 2, 2], 0, 1;[[-1, -3, -1, 1, 1, 0, 0], [-1, -3, -1, 0, 0, 1, 2], [3, 5, 0, 0, -1, 0, -3]];[[0, 0, 1, 1, 0, 1, 0], [1, 0, 0, 1, 0, -1, 1], [2, -1, 1, -1, 1, 0, 0], [0, -1, 1, 0, -2, 0, -1]];[2, 1, 2, -1]
820;[3, 2, 2], 0, 1;[[-1, -3, -1, 1, 1, 0, 0], [-1, -3, -1, 0, 0, 1, 3], [3, 5, 0, 0, -1, 0, -5]];[[0, 0, 1, 1, 0, 1, 0], [2, -1, 1, -1, 1, 0, 0], [1, -1, 1, 1, -2, -1, 0], [2, 0, 0, 1, 1, -1, 1]];[2, 2, 0, 2]
821;[3, 2, 2], 0, 1;[[-1, -3, -1, 1, 1, 0, 0], [-1, -3, -1, 0, 0, 1, 3], [3, 5, 0, 0, -1, 0, -4]];[[0, 0, 1, 1, 0, 1, 0], [2, -1, 1, -1, 1, 0, 0], [1, -1, 1, 1, -2, -1, 0], [0, 1, -1, 1, 1, -1, 1]];[2, 2, 0, 0]
822;[3, 2, 2], 0, 1;[[-1, -3, -1, 1, 1, 0, 0], [-1, -3, -1, 0, 0, 1, 1], [3, 5, 1, 0, -1, 0, -1]];[[0, 0, 1, 0, 1, 1, 0], [0, 0, 1, 1, 0, 0, 1], [-1, 1, -1, 1, 0, 0, 1], [-1, 0, 1, 1, -1, 1, -1]];[2, 2, 0, 0]
823;[3, 2, 2], 0, 1;[[-1, -3, -2, 1, 1, 0, 0], [-1, -3, -2, 0, 0, 1, 1], [3, 5, 3, 0, -1, 0, -1]];[[1, -1, 1, -1, 1, 0, 0], [-1, 0, 1, 1, 0, 1, 0], [0, 0, 0, 1, -1, -1, 1], [0, -1, 1, 0, -1, 0, -1]];[1, 1, 0, -1]
824;[3, 2, 2], 0, 1;[[-1, -3, -3, 1, 1, 0, 0], [-1, -3, -3, 0, 0, 1, 1], [3, 5, 4, 0, -2, 0, -2]];[[1, -1, 1, 1, 0, 0, 1], [1, 1, -1, 0, 1, 0, 1], [0, 0, 0, -1, 1, 1, -1], [-1, 1, 0, 1, 1, 2, 0]];[2, 2, 0, 2]
825;[3, 2, 2], 0, 1;[[-1, -3, -3, 1, 1, 0, 0], [-1, -3, -3, 0, 0, 1, 1], [3, 5, 4, 0, -1, 0, -3]];[[0, -1, 1, 1, -1, 0, 0], [1, 0, 0, 1, 0, 0, 1], [1, -1, 1, -1, 2, 1, 0], [-1, 0, 1, 1, 1, 2, 0]];[0, 2, 2, 2]
826;[3, 2, 2], 0, 1;[[-1, -3, -3, 1, 1, 0, 0], [-1, -3, -3, 0, 0, 1, 1], [3, 5, 4, 0, -1, 0, -2]];[[0, -1, 1, 1, -1, 0, 0], [1, 0, 0, 0, 1, 0, 1], [0, -1, 1, -1, 1, 1, -1], [-1, 0, 1, 1, 1, 2, 0]];[0, 2, 0, 2]
827;[3, 2, 2], 0, 1;[[-1, -3, -3, 1, 1, 0, 0], [-1, -3, -3, 0, 0, 1, 1], [3, 5, 4, 0, -1, 0, -1]];[[0, -1, 1, 1, -1, 0, 0], [0, 0, 0, 1, -1, -1, 1], [1, -1, 1, 0, 1, 0, 1], [-1, 1, 0, 1, 1, 1, 1]];[0, 0, 2, 2]
828;[3, 2, 2], 0, 1;[[-1, -3, -3, 1, 1, 0, 0], [-1, -3, -3, 0, 0, 1, 2], [3, 5, 4, 0, -1, 0, -3]];[[0, -1, 1, 1, -1, 0, 0], [1, 0, 0, 1, 0, -1, 1], [1, -1, 1, -1, 2, 1, 0], [0, 0, 1, 2, 1, 1, 1]];[0, 1, 2, 3]
829;[3, 2, 2], 0, 1;[[-1, -3, -3, 1, 1, 0, 0], [-1, -3, -3, 0, 0, 1, 3], [3, 5, 4, 0, -1, 0, -5]];[[0, -1, 1, 1, -1, 0, 0], [1, -1, 1, -1, 2, 1, 0], [-1, 0, 1, 1, 1, 2, 0], [2, 0, 0, 1, 1, -1, 1]];[0, 2, 2, 2]
830;[3, 2, 2], 0, 1;[[-1, -3, -3, 1, 1, 0, 0], [-1, -3, -3, 0, 0, 1, 3], [3, 5, 4, 0, -1, 0, -4]];[[0, -1, 1, 1, -1, 0, 0], [1, -1, 1, -1, 2, 1, 0], [-1, 0, 1, 1, 1, 2, 0], [1, 1, -1, 1, 0, -2, 1]];[0, 2, 2, 0]
831;[3, 3, 2], 0, 1;[[-1, -3, -3, 1, 2, 1, 0, 0], [-1, -3, -3, 0, 0, 0, 1, 1], [3, 5, 4, 0, -3, -3, 0, -1]];[[0, -1, 1, 0, 0, 0, 1, -1], [1, 0, 0, -1, 1, 0, 1, 0], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 1, 1, 1, 0, 2, 1], [-1, 1, -1, -1, 0, 0, 1, -2]];[0, 1, 2, 3, -2]
832;[3, 3, 2], 0, 1;[[-1, -3, -3, 1, 3, 1, 0, 0], [-1, -3, -3, 0, 0, 0, 1, 1], [3, 5, 4, 0, -4, -3, 0, -1]];[[0, -1, 1, 0, 0, 0, 1, -1], [1, 0, 0, 0, 0, 1, 1, 0], [-1, 0, 1, 2, 0, 0, 1, 1], [1, -1, 1, -1, 1, -1, 0, 1], [-1, 1, 0, 0, 1, -1, 1, 1]];[0, 2, 2, 0, 0]
833;[3, 3, 2], 0, 1;[[-1, -3, -3, 1, 3, 3, 0, 0], [-1, -3, -3, 0, 0, 0, 1, 1], [3, 5, 4, 0, -4, -5, 0, -1]];[[0, -1, 1, 0, 0, 0, 1, -1], [0, 0, 0, 0, -1, 1, 1, -1], [-1, 0, 1, 2, 0, 0, 1, 1], [2, 0, 0, -1, 0, 1, 1, 1], [-1, 1, -1, -1, 1, -1, 0, -1]];[0, 0, 2, 2, -2]
834;[3, 2, 2], 0, 1;[[-1, -3, -4, 1, 1, 0, 0], [-1, -3, -4, 0, 0, 1, 1], [3, 5, 5, 0, -1, 0, -1]];[[0, -1, 1, 1, 0, 1, 0], [0, 0, 0, 1, -1, -1, 1], [1, -1, 0, -1, -1, -1, -1], [1, 0, 0, 0, 1, -1, 2]];[1, 0, -2, 2]
835;[3, 2, 2], 0, 1;[[-1, -3, -5, 1, 1, 0, 0], [-1, -3, -5, 0, 0, 1, 1], [3, 5, 6, 0, -1, 0, -1]];[[1, -2, 1, 1, -1, 0, 0], [-1, 1, 0, 1, 1, 1, 1], [0, 0, 0, 1, -1, -1, 1], [-1, 0, 0, 1, -2, 0, -1]];[0, 2, 0, -2]
836;[3, 2, 2], 0, 1;[[-1, -5, -4, 1, 1, 0, 0], [-1, -5, -4, 0, 0, 1, 1], [3, 7, 5, 0, -1, 0, -1]];[[1, -1, 1, -1, 1, 0, 0], [0, 0, 0, 1, -1, -1, 1], [0, 1, -1, 0, 1, 0, 1], [-1, 0, 1, 2, 1, 2, 1]];[1, 0, 1, 3]
837;[3, 2, 2], 0, 1;[[-1, -5, -5, 1, 1, 0, 0], [-1, -5, -5, 0, 0, 1, 1], [3, 7, 6, 0, -1, 0, -1]];[[0, -1, 1, 1, -1, 0, 0], [0, 0, 0, 1, -1, -1, 1], [1, -1, 1, 0, 1, 0, 1], [-1, 1, 0, 2, 2, 2, 2]];[0, 0, 2, 4]
838;[3, 2, 2], 0, 1;[[-1, -7, -5, 1, 1, 0, 0], [-1, -7, -5, 0, 0, 1, 1], [3, 9, 6, 0, -1, 0, -1]];[[-1, 1, -1, 1, 0, 1, 0], [0, 0, 0, 1, -1, -1, 1], [1, 0, 0, 0, 1, -1, 2], [-1, -1, 2, 2, 0, 2, 0]];[0, 0, 2, 2]
839;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, -1, -2, 0, -1, 0, -1]];[[0, 1, -1, 0, 1, 1, 0], [0, 1, -1, 1, 0, 0, 1], [1, 0, 1, 1, 1, 1, 1], [1, 0, 0, -1, 2, -1, 2]];[1, 1, 4, 2]
840;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 1, -2, 0, -1, 0, -1]];[[1, -1, 1, -1, 1, 0, 0], [0, 0, 0, 1, -1, -1, 1], [-1, 0, -1, -1, -1, -1, -1], [0, -1, 1, 1, -2, 0, -1]];[1, 0, -4, -1]
841;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 1, -1, 0, -1, 0, -2]];[[0, 0, 1, 2, -1, 1, 0], [0, 1, -1, 1, 0, 0, 1], [1, 0, 1, 1, 1, 1, 1], [1, -1, 1, 0, 0, -1, 1]];[2, 1, 4, 1]
842;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 1, -1, 0, -1, 0, -1]];[[0, 0, 0, 1, -1, -1, 1], [0, 0, 1, 2, -1, 1, 0], [1, -1, 2, 1, 0, 0, 1], [0, -1, 1, 0, -1, 0, -1]];[0, 2, 3, -1]
843;[3, 2, 2], 0, 1;[[-1, -2, -2, 1, 1, 0, 0], [-1, -2, -2, 0, 0, 1, 1], [4, 1, -1, 0, -1, 0, -1]];[[0, 0, 0, 1, -1, -1, 1], [0, -1, 1, 1, -1, 1, -1], [1, -1, 1, 0, 1, 0, 1], [0, 1, 0, 2, 0, 1, 1]];[0, 0, 2, 3]
844;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 3, -2, 0, -1, 0, -1]];[[1, -1, 1, 1, -1, 0, 0], [0, 0, 0, 1, -1, -1, 1], [-1, 1, 0, 2, -1, 1, 0], [-1, 0, -1, -1, -1, -1, -1]];[1, 0, 1, -4]
845;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 3, -1, 0, -1, 0, -2]];[[1, -1, 1, 0, 0, 0, 0], [0, 0, 1, 2, -1, 1, 0], [0, 1, 0, 1, 1, 1, 1], [0, 0, -1, 0, -1, -2, 1]];[1, 2, 3, -2]
846;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 3, -1, 0, -1, 0, -1]];[[1, -1, 1, 0, 0, 0, 0], [0, 0, 1, 2, -1, 1, 0], [0, 0, 0, 1, -1, -1, 1], [0, -1, 0, -1, -1, 0, -2]];[1, 2, 0, -3]
847;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 3, 0, 0, -2, 0, -2]];[[0, 0, 1, 1, 0, 1, 0], [1, 0, 0, 0, 1, 0, 1], [0, 0, 0, 1, -1, -1, 1], [-1, 2, -2, 1, 0, 0, 1]];[2, 2, 0, 0]
848;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 3, 0, 0, -1, 0, -3]];[[1, -1, 1, -1, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0], [1, 0, 0, 0, 1, 0, 1], [1, -1, 0, 1, -2, -2, 1]];[1, 2, 2, -1]
849;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 3, 0, 0, -1, 0, -2]];[[1, -1, 1, -1, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0], [0, 1, -1, 0, 1, 0, 1], [1, -1, 1, 1, -1, -1, 1]];[1, 2, 1, 1]
850;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 3, 0, 0, -1, 0, -1]];[[1, -1, 1, -1, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0], [0, 0, 0, 1, -1, -1, 1], [0, -1, 0, 0, -2, -1, -1]];[1, 2, 0, -3]
851;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 2], [4, 3, 0, 0, -1, 0, -3]];[[1, -1, 1, -1, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0], [1, 0, 0, 0, 1, -1, 1], [1, -2, 1, 0, -2, -2, 0]];[1, 2, 1, -2]
852;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 3], [4, 3, 0, 0, -1, 0, -5]];[[1, -1, 1, -1, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0], [1, 1, 0, 1, 2, 0, 1], [1, 0, 0, 2, -1, -2, 1]];[1, 2, 3, 0]
853;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 3, 1, 0, -1, 0, -1]];[[0, 0, 1, 0, 1, 1, 0], [0, 0, 1, 1, 0, 0, 1], [1, -1, 1, -1, 1, -1, 1], [0, -1, 1, 0, -1, 0, -1]];[2, 2, 1, -1]
854;[3, 2, 2], 0, 1;[[-1, -2, -2, 1, 1, 0, 0], [-1, -2, -2, 0, 0, 1, 1], [4, 3, -1, 0, -1, 0, -1]];[[1, -1, 1, 1, 0, 1, 0], [0, 0, 0, 1, -1, -1, 1], [1, -1, 0, -1, 0, -2, 1], [0, -1, 0, 0, -2, -1, -1]];[2, 0, -1, -3]
855;[3, 2, 2], 0, 1;[[-1, -2, -2, 1, 1, 0, 0], [-1, -2, -2, 0, 0, 1, 1], [4, 3, 1, 0, -1, 0, -2]];[[1, -1, 1, 1, 0, 0, 1], [-1, 0, 0, 1, -2, 0, -1], [0, 1, 0, 1, 1, 1, 1], [0, 1, -1, 0, 0, -1, 1]];[2, -2, 3, 0]
856;[3, 2, 2], 0, 1;[[-1, -2, -2, 1, 1, 0, 0], [-1, -2, -2, 0, 0, 1, 1], [4, 3, 1, 0, -1, 0, -1]];[[0, 0, 0, 1, -1, -1, 1], [0, -1, 1, 1, -1, 1, -1], [-1, 1, 0, 2, -1, 1, 0], [0, -1, 0, 0, -2, -1, -1]];[0, 0, 1, -3]
857;[3, 2, 2], 0, 1;[[-1, -2, -2, 1, 1, 0, 0], [-1, -2, -2, 0, 0, 1, 2], [4, 3, 1, 0, -1, 0, -3]];[[0, -1, 1, 2, -2, 0, 0], [-1, 1, 0, 2, -1, 1, 0], [1, 0, 0, 0, 1, -1, 1], [0, 0, -1, -1, -1, -2, 0]];[0, 1, 1, -3]
858;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, -2, 0, -1, 0, -1]];[[-1, 1, 0, 0, 1, 1, 0], [-1, 1, 0, 1, 0, 0, 1], [1, 0, 1, 1, 1, 1, 1], [0, 0, 1, 2, -1, 2, -1]];[1, 1, 4, 2]
859;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, -1, 0, -1, 0, -2]];[[-1, 1, 0, 0, 1, 1, 0], [0, 0, 1, 2, -1, 1, 0], [-1, 1, -1, 0, 0, -1, 1], [-1, 0, -1, -1, -1, -1, -1]];[1, 2, -1, -4]
860;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, -1, 0, -1, 0, -1]];[[-1, 1, 0, 0, 1, 1, 0], [-1, 1, 0, 1, 0, 0, 1], [0, 0, 1, 1, 0, 2, -1], [-2, 1, -1, 0, -1, 0, -1]];[1, 1, 2, -3]
861;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, 0, 0, -2, 0, -2]];[[0, 0, 1, 1, 0, 1, 0], [1, 0, 0, 0, 1, 0, 1], [0, 0, 0, 1, -1, -1, 1], [-2, 2, -1, 1, 0, 0, 1]];[2, 2, 0, 0]
862;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, 0, 0, -1, 0, -3]];[[0, 0, 1, 1, 0, 1, 0], [1, -1, 0, 0, -1, -1, 0], [1, 0, 0, 0, 1, 0, 1], [0, 1, -1, 2, -1, -1, 2]];[2, -1, 2, 1]
863;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, 0, 0, -1, 0, -2]];[[0, 0, 1, 1, 0, 1, 0], [1, -1, 0, 0, -1, -1, 0], [1, 0, 0, -1, 2, 0, 1], [0, 1, 0, 1, 1, 0, 2]];[2, -1, 2, 3]
864;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, 0, 0, -1, 0, -1]];[[0, 0, 1, 1, 0, 1, 0], [1, -1, 0, 0, -1, -1, 0], [-1, 1, 0, 1, 0, 0, 1], [-1, 0, -1, 0, -2, 0, -2]];[2, -1, 1, -4]
865;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 2], [4, 5, 0, 0, -1, 0, -3]];[[0, 0, 1, 1, 0, 1, 0], [1, -1, 0, 0, -1, -1, 0], [1, 0, 0, 0, 1, -1, 1], [-1, 1, -1, 2, -2, -2, 1]];[2, -1, 1, -2]
866;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 3], [4, 5, 0, 0, -1, 0, -5]];[[0, 0, 1, 1, 0, 1, 0], [1, -1, 0, 0, -1, -1, 0], [0, 1, 0, 2, 0, -1, 1], [-2, 0, -1, 0, -3, 0, -1]];[2, -1, 1, -4]
867;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, 1, 0, -2, 0, -3]];[[1, -1, 1, 0, 0, 0, 0], [0, 0, -1, -2, 1, 0, -1], [0, 1, 0, 1, 1, 1, 1], [1, 0, -1, 0, 0, -1, 1]];[1, -2, 3, 0]
868;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, 1, 0, -2, 0, -2]];[[1, -1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 1], [0, 0, 0, -1, 1, 1, -1], [-1, 1, 1, 1, 1, 2, 0]];[1, 2, 0, 3]
869;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, 1, 0, -1, 0, -4]];[[1, -1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 0, 1], [-2, 0, 2, 2, -2, 1, -1]];[1, 2, 2, 0]
870;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, 1, 0, -1, 0, -3]];[[1, -1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 0, 1, 0, 1], [-1, 1, 1, 3, -1, 1, 1]];[1, 2, 2, 3]
871;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, 1, 0, -1, 0, -2]];[[1, -1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 1, 1, 0], [1, 0, -1, -1, 1, -1, 1], [0, 1, 0, 1, 1, 0, 2]];[1, 2, 0, 3]
872;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, 1, 0, -1, 0, -1]];[[1, -1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 1, 1, 0], [0, 0, 1, 1, 0, 0, 1], [-1, 0, 0, 1, -2, 1, -2]];[1, 2, 2, -2]
873;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 2], [4, 5, 1, 0, -1, 0, -5]];[[1, -1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 1, 1, 0], [0, 1, 0, 2, 0, 0, 1], [-2, 0, 1, 1, -2, 1, -1]];[1, 2, 2, -1]
874;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 2], [4, 5, 1, 0, -1, 0, -3]];[[1, -1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 0, 1, -1, 1], [-1, 1, 1, 3, -1, 0, 1]];[1, 2, 1, 2]
875;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 3], [4, 5, 1, 0, -1, 0, -8]];[[1, -1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 1, 1, 0], [1, 1, 0, 2, 1, 0, 1], [-1, 0, 2, 3, -2, 1, 0]];[1, 2, 3, 2]
876;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 1, 3], [4, 5, 1, 0, -1, 0, -5]];[[1, -1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 1, 1, 0], [0, 1, 0, 2, 0, -1, 1], [-2, 0, 1, 1, -2, 2, -1]];[1, 2, 1, 0]
877;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 2, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, 1, 0, -3, 0, -2]];[[1, -1, 1, 0, 0, 0, 0], [0, 1, 0, 0, 1, 1, 1], [1, 0, 0, 1, 0, -1, 2], [1, 0, -1, -2, 1, 0, 0]];[1, 2, 2, -1]
878;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 2, 0, 0], [-1, -2, -1, 0, 0, 1, 2], [4, 5, 1, 0, -3, 0, -3]];[[-1, 1, -1, 0, 0, 0, 0], [1, 0, -1, -2, 1, 0, 0], [0, 1, 1, 1, 1, 1, 1], [1, 0, -1, 0, 0, -2, 1]];[-1, -1, 3, -1]
879;[3, 2, 2], 0, 1;[[-1, -2, -1, 1, 3, 0, 0], [-1, -2, -1, 0, 0, 1, 1], [4, 5, 1, 0, -5, 0, -2]];[[1, -1, 1, 0, 0, 0, 0], [2, 0, -1, -2, 1, 0, 1], [1, 1, 0, 0, 1, 1, 2], [0, -1, 0, 1, -1, -2, 0]];[1, 0, 3, -1]
880;[3, 3, 2], 0, 1;[[-1, -2, -1, 1, 2, 1, 0, 0], [-1, -2, -1, 0, 0, 0, 1, 1], [4, 5, 1, 0, -5, -4, 0, -1]];[[-1, 1, -1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, -1, 1, 0], [0, 0, 1, 1, 0, 0, 0, 1], [-2, 0, 1, 1, -1, 0, 1, -2]];[-1, 2, 1, 2, -1]
